State,State Code,2011 Percent,2011 Total,2010 Percent,2010 Total,2009 Percent,2009 Total,2008 Percent,2008 Total,2007 Percent,2007 Total,2006 Percent,2006 Total,2005 Percent,2005 Total,2004 Percent,2004 Total,2003 Percent,2003 Total,2002 Percent,2002 Total,2001 Percent,2001 Total,2000 Percent,2000 Total,1999 Percent,1999 Total,1998 Percent,1998 Total,1997 Percent,1997 Total,1996 Percent,1996 Total,1995 Percent,1995 Total,1994 Percent,1994 Total,1993 Percent,1993 Total,1992 Percent,1992 Total,1991 Percent,1991 Total,1990 Percent,1990 Total,1989 Percent,1989 Total,1988 Percent,1988 Total,1987 Percent,1987 Total,1986 Percent,1986 Total,1985 Percent,1985 Total,1984 Percent,1984 Total,1983 Percent,1983 Total,1982 Percent,1982 Total,1981 Percent,1981 Total,1980 Percent,1980 Total,1979 Percent,1979 Total,1978 Percent,1978 Total,1977 Percent,1977 Total,1976 Percent,1976 Total
Montana,MT,6.8,34519,6.9,34463,6.1,30085,4.5,22759,3.4,17206,3.2,15946,3.6,17496,4,19181,4.3,20282,4.5,21018,4.5,21136,4.8,22313,5.3,24610,5.6,25681,5.3,24113,5.5,24683,5.4,23935,5.5,23817,6,25322,6.4,26900,6.3,25873,6,24595,6,24461,6.5,26240,7.3,29000,7.6,30324,7.8,31396,7.8,31211,8.5,33501,8.2,31681,6.8,26209,6.3,23371,5.4,19944,5.5,19797,5.8,20072,5.8,19278
Nebraska,NE,4.4,44625,4.7,46434,4.7,45994,3.3,32638,3,29066,3,29426,3.9,37725,3.9,38210,4,38681,3.7,35611,3.1,30037,2.8,26564,2.8,25919,2.5,23462,2.4,22322,2.8,25389,2.6,23748,2.6,23273,2.8,24045,2.9,24013,2.6,22034,2.3,18904,2.8,23420,3.5,28413,4.4,35631,4.9,40205,5.1,41314,4.4,34797,5.7,44959,5.7,44546,4.1,31331,3.9,29778,2.8,21196,3,22455,3.4,25413,3.2,22996
Nevada,NV,13.5,187732,13.7,190420,11.6,159144,7,94866,4.7,61078,4.2,54110,4.5,54914,4.4,52091,5.2,60403,5.7,64303,5.3,58838,4.5,47624,4.3,43615,4.4,43403,4.5,42545,5.2,46282,5.6,47336,6.1,49770,6.8,51866,6.9,50482,6.3,43371,5.1,33380,4.8,29038,5.3,30667,6.1,33975,6.6,35282,7.5,38473,7.7,38756,9.7,47130,9.9,47626,7.5,34506,6.5,27933,4.9,19710,4.8,17943,6.7,23649,8.9,29229
New Hampshire,NH,5.4,39991,6.1,45364,6.2,46176,3.9,29102,3.5,26251,3.5,25899,3.6,26346,3.9,27700,4.5,31645,4.5,32362,3.4,24202,2.7,18713,2.8,18838,2.9,19268,3.1,20625,3.7,23617,4,25121,4.7,29631,6.3,39170,7.6,46739,7.3,44831,5.6,35005,3.5,21511,2.5,14663,2.3,13251,2.5,14162,3.8,20453,4.3,22592,5.6,28187,7,34119,5.2,25046,4.6,21482,3.2,14588,3.8,16624,5.6,23360,6.7,26489
New Jersey,NJ,9.3,424354,9.6,437436,9,408079,5.5,246829,4.3,191689,4.6,207168,4.5,196713,4.9,214685,5.9,255499,5.8,253544,4.3,184797,3.7,157473,4.5,191841,4.6,195304,5.3,226418,6.2,258258,6.5,265506,6.8,277526,7.6,307323,8.5,342449,6.8,273748,5.1,207536,4.1,164716,3.8,151645,4.1,161257,5,196985,5.6,215102,6.2,234154,8,296169,8.7,314691,7.5,269792,7.3,261034,6.9,245714,7.3,251462,9.3,315923,10.5,346342
New Mexico,NM,7.4,68834,7.9,74176,6.8,64173,4.5,42585,3.5,32545,4.1,37808,5.2,47104,5.8,51863,5.9,52633,5.5,48321,4.9,42679,5,42269,5.6,46936,6.2,52218,6.6,54031,7.5,61036,6.8,54064,6.6,51440,7.3,54795,7.5,54984,7.2,51545,6.8,48193,6.7,46509,7.6,51729,9,60780,9.2,61401,8.7,56347,8,50206,9.5,57720,9,53392,7.4,42675,7.6,42897,6.6,36338,6.3,33473,7.6,38879,8.8,42595
New York,NY,8.2,774652,8.6,824668,8.3,804438,5.4,517772,4.6,434303,4.6,437408,5,474316,5.8,544072,6.4,595111,6.2,577608,4.9,449342,4.5,415531,5.2,476648,5.7,512250,6.5,580967,6.3,551632,6.4,551039,6.9,601744,7.9,685436,8.6,755216,7.3,642176,5.3,469056,5,433105,4.3,366124,4.9,413772,6.2,525392,6.6,548567,7.1,578363,8.7,694399,8.5,682021,7.6,605740,7.5,601408,7.2,574080,7.8,609164,9.2,710224,10.2,785645
North Carolina,NC,10.5,489097,10.9,504883,10.5,477374,6.3,288200,4.8,214615,4.8,212829,5.3,229030,5.5,236325,6.5,274195,6.6,279282,5.6,234934,3.7,154577,3.3,132705,3.5,140781,3.9,153176,4.4,171017,4.4,166206,4.4,161568,5.2,186885,6.2,223851,5.9,209588,4.2,145403,3.6,121936,3.7,124487,4.6,149121,5.3,169691,5.8,178405,6.8,205492,8.9,261497,9.5,279630,6.6,192580,6.4,181920,4.8,135726,4.6,126548,5.9,159030,6.3,164888
North Dakota,ND,3.5,13365,3.8,14383,4.1,15333,3.1,11545,3.1,11417,3.2,11545,3.4,12249,3.5,12260,3.6,12576,3.5,12231,2.8,9592,2.9,10101,3.2,11153,3,10378,2.9,10001,3.2,10982,3.3,11307,3.7,12653,4.4,14293,4.7,15207,4.3,13859,4,12860,4.4,14197,4.7,15421,5.1,16802,5.9,19339,5.7,18617,5.4,17395,6,19208,5.7,18125,4.8,14940,5,15344,4,12007,4.2,12562,4.6,13235,3.7,10339
Northern Mariana Islands,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
